,INSEE_COM,NOM_COMMUNE,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
110,29075,Guipavas,106,0.0,25.0,79.0,94.0,98.0,99.0,1.0,171,0,278300.0,15945.0,59304.0,174,3053,34,1460,6479,38141,4168,4847
111,29077,Guissény,4,0.0,0.0,25.0,25.0,25.0,25.0,75.0,5,1,7836.0,1116.0,168.0,0,0,0,0,0,0,0,168
112,29078,Hanvec,17,0.0,12.0,29.0,94.0,94.0,94.0,6.0,21,0,14006.0,2336.0,0.0,0,0,0,0,0,0,0,0
113,29080,Hôpital-Camfrout,17,0.0,6.0,41.0,94.0,94.0,94.0,6.0,21,0,17082.0,2098.0,0.0,0,0,0,0,0,0,0,0
114,29082,Île-de-Batz,1,0.0,0.0,100.0,100.0,100.0,100.0,0.0,1,1,1107.0,134.0,0.0,0,0,0,0,0,0,0,0
115,29086,Irvillac,4,0.0,0.0,75.0,100.0,100.0,100.0,0.0,3,0,11160.0,357.0,188.0,0,0,0,0,0,0,0,188
116,29087,Le Juch,3,0.0,33.0,33.0,100.0,100.0,100.0,0.0,5,0,8162.0,299.0,0.0,0,0,0,0,0,0,0,0
117,29091,Kerlouan,1,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0,0,1730.0,0.0,40.0,0,0,0,0,0,40,0,0
118,29098,Lampaul-Plouarzel,4,0.0,25.0,50.0,100.0,100.0,100.0,0.0,3,0,2731.0,314.0,98.0,0,98,0,0,0,0,0,0
119,29099,Lampaul-Ploudalmézeau,2,0.0,0.0,100.0,100.0,100.0,100.0,0.0,2,0,38031.0,291.0,0.0,0,0,0,0,0,0,0,0
120,29101,Landéda,21,0.0,38.0,62.0,71.0,81.0,81.0,19.0,20,0,66761.0,1815.0,1223.0,0,0,0,717,0,0,0,506
121,29103,Landerneau,112,0.0,30.0,46.0,94.0,96.0,96.0,4.0,187,4,143834.0,18241.0,8725.0,1475,3557,2256,1430,0,0,0,7
122,29104,Landévennec,1,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0,0,67191.0,0.0,122.0,0,0,0,0,0,122,0,0
123,29109,Landunvez,14,0.0,50.0,57.0,86.0,86.0,86.0,14.0,10,2,9591.0,1099.0,813.0,0,0,0,0,0,705,54,0
124,29112,Lanildut,6,0.0,67.0,100.0,100.0,100.0,100.0,0.0,5,2,19562.0,583.0,730.0,0,0,0,360,0,0,0,370
125,29113,Lanmeur,4,0.0,25.0,75.0,100.0,100.0,100.0,0.0,3,0,0.0,401.0,3036.0,0,0,0,0,0,3036,0,0
126,29117,Lannilis,52,0.0,27.0,73.0,94.0,94.0,94.0,6.0,58,2,285501.0,5321.0,2829.0,0,0,1594,0,7,904,0,324
127,29120,Lanvéoc,2,0.0,0.0,50.0,50.0,100.0,100.0,0.0,1,1,9139.0,80.0,2112.0,0,0,0,0,0,2112,0,0
128,29130,Locmaria-Plouzané,33,0.0,30.0,55.0,94.0,94.0,94.0,6.0,28,0,209921.0,3199.0,1556.0,0,285,0,363,10,608,280,10
129,29133,Locquirec,7,0.0,71.0,100.0,100.0,100.0,100.0,0.0,11,2,0.0,1600.0,0.0,0,0,0,0,0,0,0,0
