,INSEE_COM,NOM_COMMUNE,SIREN_EPCI,TacheUrb2014,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
33,22111,Lanmodez,200065928,extérieur,11,0.0,18.0,45.0,45.0,55.0,64.0,36.0,9,2,17463.0,1040.0,290.0,0,0,0,0,0,290,0,0
34,22111,Lanmodez,200065928,intérieur,4,0.0,0.0,25.0,75.0,75.0,75.0,25.0,1,0,7160.0,125.0,927.0,0,142,0,498,0,287,0,0
35,22113,Lannion,200065928,extérieur,271,2.0,42.0,76.0,90.0,96.0,97.0,3.0,403,6,582715.0,39806.0,33713.0,138,4880,5189,4785,1443,10034,3614,2184
36,22113,Lannion,200065928,intérieur,394,3.0,35.0,73.0,88.0,93.0,94.0,6.0,599,30,949520.0,56121.0,44733.0,0,7412,1819,7526,2409,2254,6343,16654
37,22117,Lantic,200069409,extérieur,85,1.0,26.0,67.0,85.0,86.0,88.0,12.0,93,1,237690.0,9864.0,6341.0,392,47,0,0,0,5825,0,77
38,22117,Lantic,200069409,intérieur,66,0.0,20.0,58.0,79.0,88.0,88.0,12.0,68,2,94056.0,8149.0,134.0,0,0,134,0,0,0,0,0
39,22118,Lanvallay,200068989,extérieur,19,5.0,21.0,79.0,89.0,95.0,95.0,5.0,15,0,200072.0,2065.0,3145.0,0,0,25,768,0,2352,0,0
40,22118,Lanvallay,200068989,intérieur,16,0.0,6.0,62.0,62.0,94.0,94.0,6.0,14,1,28425.0,1857.0,267.0,0,0,248,0,0,0,0,19
41,22127,Lézardrieux,200065928,extérieur,18,0.0,50.0,56.0,94.0,94.0,94.0,6.0,30,0,48901.0,2764.0,3173.0,0,0,0,506,0,2667,0,0
42,22127,Lézardrieux,200065928,intérieur,49,6.0,45.0,63.0,92.0,96.0,96.0,4.0,53,1,233131.0,5362.0,16695.0,0,0,6,113,0,15940,0,636
43,22134,Louannec,200065928,extérieur,90,2.0,32.0,79.0,92.0,93.0,94.0,6.0,123,3,117556.0,12982.0,101.0,0,0,0,0,0,0,101,0
44,22134,Louannec,200065928,intérieur,88,2.0,42.0,74.0,85.0,88.0,89.0,11.0,115,3,98277.0,12987.0,3816.0,0,306,110,1251,0,980,472,441
45,22143,Matignon,200068989,extérieur,95,3.0,5.0,32.0,66.0,83.0,86.0,14.0,106,12,183269.0,10249.0,2289.0,0,79,0,458,0,0,1752,0
46,22143,Matignon,200068989,intérieur,72,4.0,11.0,46.0,75.0,88.0,94.0,6.0,102,2,151548.0,10046.0,11067.0,0,301,2404,0,727,0,2223,2855
47,22162,Paimpol,200067981,extérieur,122,0.0,25.0,54.0,81.0,85.0,89.0,11.0,172,6,321998.0,16838.0,16336.0,0,69,1024,2092,746,5309,2938,4158
48,22162,Paimpol,200067981,intérieur,219,6.0,39.0,53.0,66.0,77.0,79.0,21.0,631,24,441170.0,60729.0,17686.0,0,3047,6887,341,283,5624,655,360
49,22166,Penvénan,200065928,extérieur,35,9.0,37.0,57.0,63.0,71.0,74.0,26.0,29,7,210367.0,3655.0,3006.0,0,207,0,289,0,2264,0,246
50,22166,Penvénan,200065928,intérieur,108,7.0,41.0,62.0,70.0,78.0,79.0,21.0,114,18,246001.0,12994.0,11521.0,0,216,487,223,0,10215,35,0
51,22168,Perros-Guirec,200065928,extérieur,231,4.0,20.0,57.0,68.0,84.0,85.0,15.0,428,32,377205.0,42545.0,4059.0,0,1293,160,275,16,0,2092,63
52,22168,Perros-Guirec,200065928,intérieur,302,6.0,25.0,56.0,71.0,80.0,81.0,19.0,928,40,543114.0,101257.0,29444.0,12770,364,5201,384,631,0,2264,4431
53,22172,Plancoët,200068989,extérieur,1,0.0,0.0,100.0,100.0,100.0,100.0,0.0,1,0,1520.0,97.0,0.0,0,0,0,0,0,0,0,0
