,SIREN_EPCI,NOM_EPCI,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
26,242900751,CC du Pays de Landivisiau,2,0.0,100.0,100.0,100.0,100.0,0.0,0,0,12600.0,0.0,3167.0,0,0,0,0,0,3167,0,0
27,242900769,CA Concarneau Cornouaille Agglomération,328,0.0,52.0,83.0,90.0,91.0,9.0,474,19,916580.0,46952.0,18797.0,0,6171,0,4193,5694,0,2536,0
28,242900793,CC Communauté Lesneven Côte des Légendes,87,0.0,61.0,84.0,86.0,89.0,11.0,77,7,94223.0,8390.0,6350.0,0,1076,0,3436,0,564,1106,168
29,242900801,CA du Pays de Landerneau-Daoulas,317,0.0,43.0,93.0,96.0,96.0,4.0,417,6,766567.0,42902.0,27283.0,1595,4229,6162,1486,7729,1611,3561,657
30,242900835,CA Morlaix Communauté,141,0.0,57.0,79.0,88.0,89.0,11.0,124,11,482554.0,15151.0,27371.0,0,2348,457,0,10800,9768,2104,1894
31,243500725,CC Côte d'Émeraude,72,0.0,53.0,68.0,85.0,86.0,14.0,60,3,593761.0,7227.0,18921.0,4520,90,200,2484,17,9294,2112,204
32,243500782,CA du Pays de Saint Malo Agglomération,427,0.0,53.0,89.0,94.0,95.0,5.0,530,24,2522154.0,50240.0,100920.0,0,7894,1732,27217,17557,20558,24207,1637
33,244400586,CC du Sud Estuaire,83,0.0,60.0,87.0,63.0,88.0,12.0,88,7,526479.0,9155.0,7851.0,0,400,2289,382,1554,2465,434,167
34,244400610,CA de la Presqu'île de Guérande Atlantique (Cap Atlantique),325,0.0,24.0,50.0,41.0,63.0,37.0,586,31,4092473.0,62547.0,21504.0,2316,146,1727,1599,145,8183,1899,1944
35,244400644,CA de la Région Nazairienne et de l'Estuaire (CARENE),166,0.0,26.0,81.0,57.0,85.0,15.0,315,4,3848688.0,34255.0,51985.0,2190,3478,13119,5010,13833,991,9273,3396
36,245600440,CC Blavet Bellevue Océan Communauté,231,0.0,20.0,84.0,93.0,94.0,6.0,287,6,4058286.0,25642.0,9782.0,0,143,0,1391,7,5154,2727,360
37,245600465,CC de Belle-Île-en-Mer,116,0.0,39.0,46.0,93.0,95.0,5.0,100,9,277448.0,10203.0,7217.0,0,110,176,543,311,1180,2478,2248
