,INSEE_COM,NOM_COMMUNE,SIREN_EPCI,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
0,22028,Camlez,200065928,4,0.0,75.0,75.0,75.0,75.0,100.0,0.0,0,0,252458.0,0.0,27059.0,0,0,0,0,292,26767,0,0
1,22044,Coëtmieux,200069391,5,0.0,0.0,0.0,100.0,100.0,100.0,0.0,5,0,8199.0,678.0,0.0,0,0,0,0,0,0,0,0
2,22049,Créhen,200068989,26,0.0,8.0,35.0,73.0,85.0,85.0,15.0,25,1,18002.0,2506.0,17660.0,0,642,0,0,17018,0,0,0
3,22054,Erquy,200069391,54,0.0,28.0,37.0,63.0,70.0,80.0,20.0,59,6,65716.0,7383.0,607.0,0,0,0,485,122,0,0,0
4,22055,Binic-Étables-sur-Mer,200069409,64,0.0,20.0,78.0,92.0,97.0,100.0,0.0,72,0,83679.0,8438.0,389.0,0,174,0,0,0,0,215,0
5,22081,Hillion,200069409,67,0.0,19.0,61.0,82.0,91.0,91.0,9.0,85,0,139336.0,7942.0,2642.0,0,0,0,532,0,163,1909,38
6,22085,Kerbors,200065928,1,0.0,0.0,0.0,100.0,100.0,100.0,0.0,1,0,530.0,87.0,0.0,0,0,0,0,0,0,0,0
7,22086,Kerfot,200067981,12,0.0,42.0,83.0,100.0,100.0,100.0,0.0,12,0,11971.0,1470.0,0.0,0,0,0,0,0,0,0,0
8,22090,Kermaria-Sulard,200065928,40,0.0,28.0,88.0,90.0,100.0,100.0,0.0,46,0,88802.0,4288.0,925.0,0,0,0,0,0,925,0,0
9,22093,Lamballe-Armor,200069391,73,0.0,26.0,42.0,82.0,88.0,90.0,10.0,69,0,97027.0,6914.0,2904.0,0,0,0,0,0,2886,18,0
10,22094,Lancieux,243500725,50,0.0,16.0,26.0,32.0,84.0,84.0,16.0,72,4,52100.0,8235.0,250.0,0,0,0,0,0,250,0,0
11,22103,Langrolay-sur-Rance,200068989,37,0.0,5.0,22.0,57.0,92.0,95.0,5.0,42,0,54920.0,4510.0,0.0,0,0,0,0,0,0,0,0
12,22106,Langueux,200069409,138,0.0,16.0,68.0,93.0,97.0,98.0,2.0,351,0,91634.0,28829.0,9.0,0,0,0,0,0,0,0,9
13,22109,Lanloup,200067981,4,0.0,75.0,75.0,75.0,75.0,75.0,25.0,3,0,6784.0,274.0,110.0,0,0,0,0,0,0,110,0
14,22111,Lanmodez,200065928,4,0.0,25.0,75.0,75.0,75.0,100.0,0.0,2,0,4109.0,175.0,290.0,0,0,0,0,0,290,0,0
15,22113,Lannion,200065928,173,0.0,43.0,80.0,92.0,97.0,97.0,3.0,207,4,203619.0,19810.0,8397.0,0,377,608,847,47,6074,252,0
16,22117,Lantic,200069409,46,0.0,15.0,70.0,85.0,85.0,87.0,13.0,52,0,38301.0,5390.0,0.0,0,0,0,0,0,0,0,0
17,22118,Lanvallay,200068989,8,0.0,25.0,100.0,100.0,100.0,100.0,0.0,5,0,119499.0,732.0,2377.0,0,0,25,0,0,2352,0,0
18,22127,Lézardrieux,200065928,12,0.0,42.0,50.0,92.0,92.0,92.0,8.0,25,0,15525.0,2143.0,733.0,0,0,0,506,0,227,0,0
19,22134,Louannec,200065928,67,0.0,36.0,81.0,93.0,94.0,94.0,6.0,80,2,34345.0,8672.0,0.0,0,0,0,0,0,0,0,0
20,22143,Matignon,200068989,44,0.0,9.0,45.0,70.0,86.0,86.0,14.0,43,3,26017.0,4322.0,1638.0,0,0,0,458,0,0,1180,0
